slon,slat,elon,elat,lambda,cum_lambda
121.306793,31.339027,121.3038,31.36155,0.004149378,0.004149378
121.19065,31.39183,121.25156,31.37271,0.004149378,0.008298755
121.25715,31.32852,121.27825,31.3296,0.004149378,0.012448133
121.29692,31.34562,121.27865,31.34398,0.004149378,0.01659751
121.196332,31.279756,121.180741,31.285401,0.004149378,0.020746888
121.21483,31.32105,121.29385,31.26349,0.004149378,0.024896266
121.333504,31.292311,121.30336,31.29543,0.004149378,0.029045643
121.31284,31.29429,121.31454,31.32226,0.004149378,0.033195021
121.23365,31.31148,121.27966,31.3306,0.004149378,0.037344398
121.251183,31.408316,121.25501,31.39824,0.004149378,0.041493776
121.261907,31.361004,121.25726,31.36824,0.004149378,0.045643154
121.245689,31.379752,121.26452,31.38198,0.004149378,0.049792531
121.30674,31.314501,121.31282,31.30807,0.004149378,0.053941909
121.25678,31.3861,121.24534,31.38306,0.004149378,0.058091286
121.199252,31.410842,121.227924,31.377118,0.004149378,0.062240664
121.25233,31.39686,121.249918,31.364419,0.004149378,0.066390041
121.23393,31.36436,121.24968,31.37287,0.004149378,0.070539419
121.19929,31.41097,121.227924,31.377118,0.004149378,0.074688797
121.27856,31.32923,121.29097,31.32703,0.004149378,0.078838174
121.25084,31.3857,121.21956,31.38313,0.004149378,0.082987552
121.2715,31.381639,121.24254,31.38377,0.004149378,0.087136929
121.26775,31.2975,121.32042,31.29393,0.004149378,0.091286307
121.199959,31.409796,121.24106,31.34463,0.004149378,0.095435685
121.2284,31.37771,121.24527,31.38303,0.004149378,0.099585062
121.3036,31.296,121.31889,31.28133,0.004149378,0.10373444
121.206,31.41106,121.2365,31.3911,0.004149378,0.107883817
121.24145,31.35616,121.24558,31.38443,0.004149378,0.112033195
121.23191,31.31311,121.254417,31.330149,0.004149378,0.116182573
121.25201,31.36529,121.261913,31.385012,0.004149378,0.12033195
121.290016,31.380119,121.26751,31.3838,0.004149378,0.124481328
121.26712,31.38523,121.28199,31.33669,0.004149378,0.128630705
121.24988,31.30836,121.22066,31.31772,0.004149378,0.132780083
121.25947,31.36752,121.22034,31.3801,0.004149378,0.136929461
121.29588,31.34771,121.254417,31.330149,0.004149378,0.141078838
121.27321,31.32154,121.27937,31.33353,0.004149378,0.145228216
121.2542,31.32783,121.2621,31.35126,0.004149378,0.149377593
121.250763,31.378113,121.273,31.38271,0.004149378,0.153526971
