slon,slat,elon,elat,lambda,cum_lambda
121.25836,31.34348,121.31363,31.34867,0.003184713,0.003184713
121.17809,31.3574,121.180786,31.344416,0.003184713,0.006369427
121.25732,31.34778,121.245359,31.345458,0.003184713,0.00955414
121.264136,31.383556,121.23789,31.39149,0.003184713,0.012738854
121.248672,31.388115,121.27474,31.40141,0.003184713,0.015923567
121.259871,31.36697,121.292126,31.333651,0.003184713,0.01910828
121.245193,31.286119,121.27928,31.26976,0.003184713,0.022292994
121.311629,31.2837,121.31988,31.2879,0.003184713,0.025477707
121.31462,31.28497,121.301464,31.296917,0.003184713,0.02866242
121.25894,31.35449,121.28123,31.3302,0.003184713,0.031847134
121.27749,31.38634,121.271727,31.401071,0.003184713,0.035031847
121.27408,31.41618,121.24688,31.39106,0.003184713,0.038216561
121.2447,31.36468,121.25861,31.33413,0.003184713,0.041401274
121.26497,31.38107,121.22625,31.37625,0.003184713,0.044585987
121.21674,31.3192,121.19811,31.31406,0.003184713,0.047770701
121.25032,31.3809,121.20559,31.4259,0.003184713,0.050955414
121.259102,31.344709,121.254417,31.330149,0.003184713,0.054140127
121.306229,31.291481,121.29783,31.30149,0.003184713,0.057324841
121.24003,31.26758,121.27829,31.26305,0.003184713,0.060509554
121.2341,31.36893,121.20438,31.41012,0.003184713,0.063694268
121.310488,31.307689,121.323511,31.296995,0.003184713,0.066878981
121.2902,31.34015,121.32914,31.35371,0.003184713,0.070063694
121.31873,31.29498,121.32341,31.29216,0.003184713,0.073248408
121.3239,31.31547,121.3327,31.28803,0.003184713,0.076433121
121.24813,31.349831,121.28876,31.35433,0.003184713,0.079617834
121.257599,31.344311,121.25861,31.33413,0.003184713,0.082802548
121.26128,31.35484,121.24085,31.38671,0.003184713,0.085987261
121.31489,31.31159,121.31237,31.29515,0.003184713,0.089171975
121.31747,31.31083,121.32928,31.32736,0.003184713,0.092356688
121.311363,31.291927,121.2744,31.35483,0.003184713,0.095541401
121.25449,31.32327,121.25537,31.34627,0.003184713,0.098726115
121.24539,31.40587,121.23368,31.3977,0.003184713,0.101910828
121.25808,31.40737,121.23795,31.39153,0.003184713,0.105095541
121.21141,31.27987,121.23821,31.27406,0.003184713,0.108280255
121.29759,31.27538,121.30928,31.28157,0.003184713,0.111464968
121.24199,31.35003,121.24065,31.38708,0.003184713,0.114649682
121.280868,31.328272,121.25861,31.33413,0.003184713,0.117834395
121.28237,31.41564,121.24891,31.37712,0.003184713,0.121019108
121.20609,31.32329,121.21523,31.31598,0.003184713,0.124203822
121.23672,31.36398,121.238239,31.37113,0.003184713,0.127388535
121.22393,31.2876,121.21479,31.26761,0.003184713,0.130573248
121.24488,31.33867,121.28504,31.32995,0.003184713,0.133757962
121.26072,31.36373,121.25812,31.34746,0.003184713,0.136942675
121.26108,31.3868,121.24725,31.35991,0.003184713,0.140127389
121.2504,31.36477,121.273,31.38271,0.003184713,0.143312102
121.278778,31.377981,121.28069,31.3306,0.003184713,0.146496815
121.21817,31.2878,121.18679,31.28808,0.003184713,0.149681529
121.302734,31.267511,121.31209,31.27023,0.003184713,0.152866242
121.227924,31.377118,121.27648,31.3906,0.003184713,0.156050955
121.2771,31.35158,121.25377,31.33085,0.003184713,0.159235669
121.231117,31.369144,121.25596,31.35569,0.003184713,0.162420382
121.26625,31.37388,121.237229,31.391367,0.003184713,0.165605096
121.293404,31.34033,121.32171,31.29499,0.003184713,0.168789809
121.226311,31.269337,121.2945,31.28997,0.003184713,0.171974522
121.31082,31.29124,121.3167,31.31051,0.003184713,0.175159236
121.33401,31.34688,121.275844,31.407607,0.003184713,0.178343949
121.263878,31.322611,121.28478,31.32985,0.003184713,0.181528662
121.27738,31.38669,121.27475,31.4014,0.003184713,0.184713376
121.30198,31.28566,121.31988,31.2879,0.003184713,0.187898089
121.31641,31.31666,121.32148,31.29707,0.003184713,0.191082803
121.247818,31.354417,121.28478,31.32985,0.003184713,0.194267516
121.297714,31.312504,121.32147,31.29708,0.003184713,0.197452229
121.227924,31.377118,121.20548,31.41191,0.003184713,0.200636943
121.276657,31.291946,121.26845,31.30322,0.003184713,0.203821656
121.2192,31.27122,121.24712,31.3057,0.003184713,0.207006369
121.24766,31.37338,121.26031,31.35257,0.003184713,0.210191083
121.218048,31.294451,121.221,31.27587,0.003184713,0.213375796
121.254416,31.330149,121.30157,31.36557,0.003184713,0.21656051
121.20451,31.343441,121.276887,31.319613,0.003184713,0.219745223
121.300423,31.28499,121.323511,31.296995,0.003184713,0.222929936
121.258499,31.34473,121.26524,31.32538,0.003184713,0.22611465
121.275528,31.407579,121.23805,31.39158,0.003184713,0.229299363
121.24479,31.38653,121.27775,31.38557,0.003184713,0.232484076
121.25233,31.30789,121.254417,31.330149,0.003184713,0.23566879
121.239845,31.349703,121.245359,31.345457,0.003184713,0.238853503
121.253128,31.354462,121.25382,31.33078,0.003184713,0.242038217
121.26491,31.33199,121.25029,31.361741,0.003184713,0.24522293
121.3016,31.3087,121.27619,31.31919,0.003184713,0.248407643
121.24279,31.37313,121.24507,31.34554,0.003184713,0.251592357
121.185244,31.312235,121.2226,31.30967,0.003184713,0.25477707
121.251755,31.372234,121.24065,31.38708,0.003184713,0.257961783
121.22829,31.41605,121.23782,31.39145,0.003184713,0.261146497
121.25554,31.35197,121.28496,31.32993,0.003184713,0.26433121
121.29863,31.30992,121.32145,31.29708,0.003184713,0.267515924
121.28182,31.32731,121.25911,31.34381,0.003184713,0.270700637
121.2547,31.32801,121.29065,31.36231,0.003184713,0.27388535
121.32026,31.28971,121.30467,31.29626,0.003184713,0.277070064
121.32348,31.29225,121.3231,31.3152,0.003184713,0.280254777
121.24589,31.38713,121.2115,31.41985,0.003184713,0.28343949
121.24742,31.34942,121.20551,31.41635,0.003184713,0.286624204
121.24148,31.3886,121.21153,31.41981,0.003184713,0.289808917
121.25701,31.32889,121.25818,31.34735,0.003184713,0.292993631
121.32947,31.29156,121.294,31.29661,0.003184713,0.296178344
121.25917,31.34388,121.25369,31.331,0.003184713,0.299363057
121.27572,31.39075,121.31634,31.297,0.003184713,0.302547771
121.250099,31.37863,121.26429,31.37073,0.003184713,0.305732484
121.24386,31.38599,121.270691,31.378959,0.003184713,0.308917197
121.30363,31.31264,121.31282,31.30807,0.003184713,0.312101911
121.240608,31.373804,121.27815,31.41675,0.003184713,0.315286624
121.21594,31.31267,121.19236,31.34618,0.003184713,0.318471338
121.269839,31.382158,121.307237,31.360825,0.003184713,0.321656051
121.24079,31.34955,121.26008,31.34833,0.003184713,0.324840764
121.31634,31.31665,121.3212,31.29715,0.003184713,0.328025478
121.21795,31.27623,121.200376,31.293736,0.003184713,0.331210191
121.206108,31.401253,121.23644,31.39101,0.003184713,0.334394904
121.2482,31.34583,121.27708,31.34421,0.003184713,0.337579618
121.299606,31.331404,121.24513,31.2874,0.003184713,0.340764331
121.30828,31.29073,121.32306,31.29476,0.003184713,0.343949045
121.22586,31.37427,121.24525,31.38302,0.003184713,0.347133758
121.22128,31.38011,121.24981,31.37643,0.003184713,0.350318471
121.32337,31.29254,121.31982,31.28851,0.003184713,0.353503185
121.2701,31.38747,121.23778,31.39143,0.003184713,0.356687898
121.26095,31.35756,121.25194,31.34083,0.003184713,0.359872611
121.27746,31.3809,121.29487,31.36062,0.003184713,0.363057325
121.24641,31.3398,121.25378,31.33085,0.003184713,0.366242038
121.269371,31.32613,121.28608,31.35812,0.003184713,0.369426752
121.315437,31.309875,121.323511,31.296995,0.003184713,0.372611465
121.24684,31.38379,121.21181,31.42004,0.003184713,0.375796178
121.28788,31.38585,121.31086,31.33004,0.003184713,0.378980892
121.25412,31.33095,121.29688,31.3496,0.003184713,0.382165605
121.28168,31.33639,121.31827,31.3366,0.003184713,0.385350318
121.236378,31.36527,121.227924,31.377118,0.003184713,0.388535032
121.292424,31.353665,121.276887,31.319613,0.003184713,0.391719745
121.25304,31.39656,121.27819,31.35639,0.003184713,0.394904459
121.21551,31.31299,121.20582,31.30879,0.003184713,0.398089172
121.274605,31.367844,121.2453,31.37802,0.003184713,0.401273885
121.19983,31.2937,121.18965,31.27718,0.003184713,0.404458599
121.26491,31.33197,121.221,31.27587,0.003184713,0.407643312
121.27035,31.33158,121.27981,31.33207,0.003184713,0.410828025
121.22066,31.31772,121.226081,31.331846,0.003184713,0.414012739
121.20469,31.41549,121.20359,31.43752,0.003184713,0.417197452
121.26434,31.345979,121.23,31.31217,0.003184713,0.420382166
121.23578,31.39227,121.32092,31.4345,0.003184713,0.423566879
121.22092,31.38076,121.2066,31.41143,0.003184713,0.426751592
121.20453,31.4167,121.23644,31.39101,0.003184713,0.429936306
121.31543,31.27304,121.29982,31.27169,0.003184713,0.433121019
121.25222,31.37323,121.25485,31.41449,0.003184713,0.436305732
121.298798,31.31131,121.28854,31.31068,0.003184713,0.439490446
121.29907,31.31118,121.31988,31.2879,0.003184713,0.442675159
121.220673,31.38378,121.227924,31.377118,0.003184713,0.445859873
121.319687,31.283411,121.30527,31.29353,0.003184713,0.449044586
121.227295,31.385502,121.25145,31.38787,0.003184713,0.452229299
121.294974,31.349011,121.27956,31.35988,0.003184713,0.455414013
121.19927,31.41098,121.23599,31.39171,0.003184713,0.458598726
121.238297,31.393995,121.24547,31.39307,0.003184713,0.461783439
121.27842,31.41657,121.30801,31.41667,0.003184713,0.464968153
121.25021,31.36186,121.27922,31.32738,0.003184713,0.468152866
121.25208,31.42795,121.25361,31.37373,0.003184713,0.47133758
121.23692,31.35987,121.23476,31.37672,0.003184713,0.474522293
121.228287,31.41605,121.20592,31.41115,0.003184713,0.477707006
121.262663,31.404822,121.24232,31.36911,0.003184713,0.48089172
121.29832,31.31365,121.32558,31.29883,0.003184713,0.484076433
121.28705,31.35016,121.25812,31.34746,0.003184713,0.487261146
121.267528,31.383804,121.25033,31.38546,0.003184713,0.49044586
121.256943,31.33646,121.2485,31.32263,0.003184713,0.493630573
121.26406,31.32268,121.25861,31.33413,0.003184713,0.496815287
121.296587,31.301735,121.26483,31.29897,0.003184713,0.5
121.220436,31.314044,121.2006,31.3173,0.003184713,0.503184713
121.2535,31.35204,121.28478,31.32985,0.003184713,0.506369427
121.320099,31.282129,121.323511,31.296994,0.003184713,0.50955414
121.21505,31.26167,121.18191,31.28508,0.003184713,0.512738854
121.20579,31.31959,121.21318,31.32288,0.003184713,0.515923567
121.21728,31.42367,121.237229,31.391367,0.003184713,0.51910828
121.28691,31.29399,121.26739,31.30584,0.003184713,0.522292994
121.24536,31.34546,121.26072,31.36373,0.003184713,0.525477707
121.269287,31.302879,121.26031,31.35314,0.003184713,0.52866242
121.32246,31.29055,121.32547,31.29893,0.003184713,0.531847134
121.24755,31.34947,121.268623,31.380778,0.003184713,0.535031847
121.2606,31.36765,121.25813,31.34745,0.003184713,0.538216561
121.27816,31.38597,121.24982,31.39807,0.003184713,0.541401274
121.30149,31.30677,121.32138,31.2971,0.003184713,0.544585987
121.26686,31.36285,121.24312,31.34496,0.003184713,0.547770701
121.29256,31.34112,121.29273,31.36358,0.003184713,0.550955414
121.29214,31.37879,121.24065,31.38708,0.003184713,0.554140127
121.30861,31.30608,121.32153,31.29706,0.003184713,0.557324841
121.244644,31.386477,121.21778,31.41391,0.003184713,0.560509554
121.29437,31.33463,121.31429,31.34802,0.003184713,0.563694268
121.245499,31.3925,121.24749,31.38409,0.003184713,0.566878981
121.28256,31.32919,121.3004,31.35624,0.003184713,0.570063694
121.259499,31.35951,121.25878,31.35099,0.003184713,0.573248408
121.284492,31.41638,121.25184,31.40699,0.003184713,0.576433121
121.29809,31.31295,121.32898,31.30749,0.003184713,0.579617834
121.25246,31.37359,121.24911,31.36834,0.003184713,0.582802548
121.29978,31.26929,121.25335,31.40263,0.003184713,0.585987261
121.30198,31.31504,121.323511,31.296995,0.003184713,0.589171975
121.21155,31.41979,121.237229,31.391367,0.003184713,0.592356688
121.279149,31.385207,121.27768,31.373209,0.003184713,0.595541401
121.30157,31.30882,121.32385,31.30229,0.003184713,0.598726115
121.26043,31.34779,121.24565,31.37831,0.003184713,0.601910828
121.276887,31.319613,121.29962,31.31902,0.003184713,0.605095541
121.209509,31.402438,121.23648,31.39094,0.003184713,0.608280255
121.281517,31.32687,121.29292,31.33982,0.003184713,0.611464968
121.246654,31.339176,121.316048,31.290176,0.003184713,0.614649682
121.22528,31.38316,121.2576,31.33623,0.003184713,0.617834395
121.287605,31.342344,121.25861,31.33413,0.003184713,0.621019108
121.254745,31.371744,121.30134,31.36549,0.003184713,0.624203822
121.301727,31.287895,121.32603,31.29847,0.003184713,0.627388535
121.25662,31.36773,121.2353,31.39057,0.003184713,0.630573248
121.28409,31.33164,121.25738,31.32822,0.003184713,0.633757962
121.22559,31.38645,121.19111,31.43097,0.003184713,0.636942675
121.280152,31.274186,121.31917,31.28801,0.003184713,0.640127389
121.25989,31.36691,121.245359,31.345457,0.003184713,0.643312102
121.29594,31.29936,121.32492,31.29176,0.003184713,0.646496815
121.257364,31.363725,121.22278,31.40621,0.003184713,0.649681529
121.22,31.382217,121.24997,31.3981,0.003184713,0.652866242
121.22572,31.3862,121.21438,31.42085,0.003184713,0.656050955
121.31479,31.31141,121.32147,31.29708,0.003184713,0.659235669
121.294609,31.383051,121.30047,31.35627,0.003184713,0.662420382
121.222122,31.319353,121.23906,31.37267,0.003184713,0.665605096
121.1913,31.29697,121.25861,31.33413,0.003184713,0.668789809
121.24623,31.36817,121.245359,31.345457,0.003184713,0.671974522
121.253233,31.344001,121.23519,31.35849,0.003184713,0.675159236
121.323502,31.291451,121.31818,31.31114,0.003184713,0.678343949
121.240392,31.391484,121.25183,31.40699,0.003184713,0.681528662
121.21796,31.31662,121.20433,31.34315,0.003184713,0.684713376
121.32501,31.30207,121.25861,31.33413,0.003184713,0.687898089
121.305962,31.339188,121.26793,31.32999,0.003184713,0.691082803
121.2652,31.38382,121.25764,31.36794,0.003184713,0.694267516
121.25929,31.368,121.32092,31.4345,0.003184713,0.697452229
121.288292,31.33148,121.31184,31.36965,0.003184713,0.700636943
121.22263,31.28973,121.23355,31.27207,0.003184713,0.703821656
121.322403,31.309271,121.32341,31.29216,0.003184713,0.707006369
121.208939,31.402704,121.2444,31.38236,0.003184713,0.710191083
121.29386,31.37456,121.27076,31.3812,0.003184713,0.713375796
121.25869,31.33397,121.24314,31.34492,0.003184713,0.71656051
121.27749,31.38632,121.29391,31.36865,0.003184713,0.719745223
121.190926,31.332891,121.18141,31.34205,0.003184713,0.722929936
121.29809,31.31295,121.31094,31.29153,0.003184713,0.72611465
121.31943,31.30711,121.30505,31.29665,0.003184713,0.729299363
121.24059,31.34534,121.28173,31.335618,0.003184713,0.732484076
121.203735,31.413839,121.20448,31.41017,0.003184713,0.73566879
121.205482,31.411909,121.24677,31.36556,0.003184713,0.738853503
121.26186,31.37662,121.25067,31.38758,0.003184713,0.742038217
121.278267,31.384678,121.237229,31.391367,0.003184713,0.74522293
121.19494,31.29051,121.20821,31.31477,0.003184713,0.748407643
121.251846,31.365789,121.2774,31.33117,0.003184713,0.751592357
121.282753,31.33363,121.3031,31.37707,0.003184713,0.75477707
121.253723,31.330725,121.29065,31.36231,0.003184713,0.757961783
121.254105,31.330908,121.1788,31.3617,0.003184713,0.761146497
121.25407,31.3307,121.23929,31.31515,0.003184713,0.76433121
121.29213,31.37878,121.29704,31.36425,0.003184713,0.767515924
121.317763,31.281663,121.30928,31.28157,0.003184713,0.770700637
121.25893,31.35448,121.25383,31.33076,0.003184713,0.77388535
121.239365,31.348679,121.25207,31.34067,0.003184713,0.777070064
121.25557,31.35193,121.25376,31.33088,0.003184713,0.780254777
121.292412,31.353636,121.21149,31.41986,0.003184713,0.78343949
121.29357,31.36395,121.25957,31.35028,0.003184713,0.786624204
121.225861,31.268185,121.23834,31.28684,0.003184713,0.789808917
121.25295,31.36919,121.28439,31.34628,0.003184713,0.792993631
121.28242,31.41543,121.2747,31.401409,0.003184713,0.796178344
121.25216,31.37674,121.24889,31.36153,0.003184713,0.799363057
121.31096,31.30968,121.30633,31.28459,0.003184713,0.802547771
121.24172,31.35599,121.260159,31.350187,0.003184713,0.805732484
121.23809,31.39161,121.25004,31.38636,0.003184713,0.808917197
121.30925,31.28656,121.24427,31.3144,0.003184713,0.812101911
121.181776,31.284995,121.207194,31.276779,0.003184713,0.815286624
121.21721,31.27561,121.18188,31.28493,0.003184713,0.818471338
121.25846,31.34479,121.25376,31.33089,0.003184713,0.821656051
121.26381,31.37058,121.19077,31.43115,0.003184713,0.824840764
121.17742,31.36193,121.24065,31.38708,0.003184713,0.828025478
121.28053,31.37722,121.21119,31.31616,0.003184713,0.831210191
121.32316,31.29099,121.32268,31.31096,0.003184713,0.834394904
121.25706,31.39982,121.24445,31.40215,0.003184713,0.837579618
121.276848,31.274405,121.31419,31.29171,0.003184713,0.840764331
121.257957,31.347834,121.25344,31.36942,0.003184713,0.843949045
121.23848,31.342731,121.24361,31.36621,0.003184713,0.847133758
121.23811,31.375,121.24318,31.38203,0.003184713,0.850318471
121.305534,31.298201,121.31163,31.31079,0.003184713,0.853503185
121.25879,31.34394,121.254417,31.330149,0.003184713,0.856687898
121.27906,31.38523,121.26876,31.37281,0.003184713,0.859872611
121.27125,31.32322,121.29065,31.36231,0.003184713,0.863057325
121.2001,31.39325,121.20594,31.41126,0.003184713,0.866242038
121.23657,31.39099,121.22169,31.41872,0.003184713,0.869426752
121.226679,31.329978,121.189,31.34879,0.003184713,0.872611465
121.28647,31.34519,121.29916,31.33309,0.003184713,0.875796178
121.2516,31.36863,121.20664,31.41145,0.003184713,0.878980892
121.238289,31.284651,121.200768,31.294613,0.003184713,0.882165605
121.271827,31.382947,121.29048,31.3763,0.003184713,0.885350318
121.31451,31.32212,121.27004,31.32694,0.003184713,0.888535032
121.28736,31.3782,121.24767,31.38269,0.003184713,0.891719745
121.285,31.33001,121.28813,31.34434,0.003184713,0.894904459
121.25662,31.36773,121.237229,31.391367,0.003184713,0.898089172
121.25817,31.36839,121.24891,31.37712,0.003184713,0.901273885
121.21745,31.31099,121.226081,31.331846,0.003184713,0.904458599
121.311621,31.308694,121.31102,31.29159,0.003184713,0.907643312
121.32419,31.29625,121.30114,31.294564,0.003184713,0.910828025
121.27848,31.30906,121.30651,31.327091,0.003184713,0.914012739
121.24084,31.36838,121.24507,31.34554,0.003184713,0.917197452
121.30148,31.30882,121.323511,31.296995,0.003184713,0.920382166
121.310169,31.30913,121.323511,31.296995,0.003184713,0.923566879
121.321611,31.297287,121.32065,31.27522,0.003184713,0.926751592
121.26077,31.3636,121.20641,31.41131,0.003184713,0.929936306
